date,total_stocks,up_gt_1pct,up_gt_2pct,down_gt_1pct,down_gt_2pct,moved_gt_1pct,moved_gt_2pct,pct_moved_gt_1pct,pct_moved_gt_2pct,pct_up_gt_1pct,pct_up_gt_2pct,pct_down_gt_1pct,pct_down_gt_2pct
2024-09-20,2233,968,515,372,195,1340,710,60.0,31.8,43.3,23.1,16.7,8.7
2024-09-23,2268,865,495,460,209,1325,704,58.4,31.0,38.1,21.8,20.3,9.2
2024-09-24,2235,543,307,657,309,1200,616,53.7,27.6,24.3,13.7,29.4,13.8
2024-09-25,2231,430,234,770,376,1200,610,53.8,27.3,19.3,10.5,34.5,16.9
2024-09-26,2228,419,198,806,386,1225,584,55.0,26.2,18.8,8.9,36.2,17.3
2024-09-27,2229,585,329,616,328,1201,657,53.9,29.5,26.2,14.8,27.6,14.7
2024-09-30,2267,501,282,843,379,1344,661,59.3,29.2,22.1,12.4,37.2,16.7
2024-10-01,2244,742,431,422,175,1164,606,51.9,27.0,33.1,19.2,18.8,7.8
2024-10-02,2244,742,431,422,175,1164,606,51.9,27.0,33.1,19.2,18.8,7.8
2024-10-03,2246,216,141,1570,1059,1786,1200,79.5,53.4,9.6,6.3,69.9,47.2
2024-10-04,2245,329,175,1048,557,1377,732,61.3,32.6,14.7,7.8,46.7,24.8
2024-10-07,2269,110,62,1874,1598,1984,1660,87.4,73.2,4.8,2.7,82.6,70.4
2024-10-08,2243,1476,1110,201,110,1677,1220,74.8,54.4,65.8,49.5,9.0,4.9
2024-10-09,2246,1021,570,310,140,1331,710,59.3,31.6,45.5,25.4,13.8,6.2
2024-10-10,2241,691,395,480,194,1171,589,52.3,26.3,30.8,17.6,21.4,8.7
2024-10-11,2242,591,304,485,176,1076,480,48.0,21.4,26.4,13.6,21.6,7.9
2024-10-14,2271,574,321,609,271,1183,592,52.1,26.1,25.3,14.1,26.8,11.9
2024-10-15,2245,579,332,559,235,1138,567,50.7,25.3,25.8,14.8,24.9,10.5
2024-10-16,2243,628,355,527,214,1155,569,51.5,25.4,28.0,15.8,23.5,9.5
2024-10-17,2241,264,149,1288,787,1552,936,69.3,41.8,11.8,6.6,57.5,35.1
2024-10-18,2240,551,270,615,269,1166,539,52.1,24.1,24.6,12.1,27.5,12.0
2024-10-21,2271,259,172,1426,957,1685,1129,74.2,49.7,11.4,7.6,62.8,42.1
2024-10-22,2243,74,45,1921,1648,1995,1693,88.9,75.5,3.3,2.0,85.6,73.5
2024-10-23,2243,811,489,518,279,1329,768,59.3,34.2,36.2,21.8,23.1,12.4
2024-10-24,2245,360,198,928,546,1288,744,57.4,33.1,16.0,8.8,41.3,24.3
2024-10-25,2242,136,73,1653,1306,1789,1379,79.8,61.5,6.1,3.3,73.7,58.3
2024-10-28,2272,1084,735,431,266,1515,1001,66.7,44.1,47.7,32.4,19.0,11.7
2024-10-29,2245,810,471,455,223,1265,694,56.3,30.9,36.1,21.0,20.3,9.9
2024-10-30,2244,1315,942,212,112,1527,1054,68.0,47.0,58.6,42.0,9.4,5.0
2024-10-31,2246,938,593,354,148,1292,741,57.5,33.0,41.8,26.4,15.8,6.6
2024-11-01,2247,1271,671,67,19,1338,690,59.5,30.7,56.6,29.9,3.0,0.8
2024-11-04,2279,301,194,1487,967,1788,1161,78.5,50.9,13.2,8.5,65.2,42.4
2024-11-05,2250,881,440,367,161,1248,601,55.5,26.7,39.2,19.6,16.3,7.2
2024-11-06,2253,1437,894,182,80,1619,974,71.9,43.2,63.8,39.7,8.1,3.6
2024-11-07,2253,460,267,858,388,1318,655,58.5,29.1,20.4,11.9,38.1,17.2
2024-11-08,2253,313,171,1251,741,1564,912,69.4,40.5,13.9,7.6,55.5,32.9
2024-11-11,2283,322,182,1139,722,1461,904,64.0,39.6,14.1,8.0,49.9,31.6
2024-11-12,2257,246,122,1384,833,1630,955,72.2,42.3,10.9,5.4,61.3,36.9
2024-11-13,2260,113,60,1841,1522,1954,1582,86.5,70.0,5.0,2.7,81.5,67.3
2024-11-14,2262,726,421,568,337,1294,758,57.2,33.5,32.1,18.6,25.1,14.9
2024-11-18,2289,476,308,990,604,1466,912,64.0,39.8,20.8,13.5,43.3,26.4
2024-11-19,2259,863,469,359,174,1222,643,54.1,28.5,38.2,20.8,15.9,7.7
2024-11-20,2259,863,469,359,174,1222,643,54.1,28.5,38.2,20.8,15.9,7.7
2024-11-21,2260,300,169,1268,801,1568,970,69.4,42.9,13.3,7.5,56.1,35.4
2024-11-22,2259,1028,551,333,166,1361,717,60.2,31.7,45.5,24.4,14.7,7.3
2024-11-25,2291,1191,722,310,148,1501,870,65.5,38.0,52.0,31.5,13.5,6.5
2024-11-26,2258,803,478,460,189,1263,667,55.9,29.5,35.6,21.2,20.4,8.4
2024-11-27,2261,980,575,274,138,1254,713,55.5,31.5,43.3,25.4,12.1,6.1
2024-11-28,2261,702,369,502,171,1204,540,53.3,23.9,31.0,16.3,22.2,7.6
2024-11-29,2262,746,396,396,155,1142,551,50.5,24.4,33.0,17.5,17.5,6.9
