symbol,sector,setup,entry_date,exit_date,pnl,r_multiple,win,exit_reason,trading_days,market_state
ALKEM.NS,Pharma,A_flat_base,2021-07-07,2021-08-16,1822.3,1.822,True,target_2r,28,bull
ALKEM.NS,Pharma,A_flat_base,2021-09-27,2021-10-20,-881.98,-0.882,False,stop,17,bull
ALKEM.NS,Pharma,A_flat_base,2023-05-10,2023-05-12,-1113.28,-1.113,False,stop,3,bull
IPCALAB.NS,Pharma,A_flat_base,2023-09-18,2023-09-22,-1265.34,-1.265,False,stop,4,bull
IPCALAB.NS,Pharma,A_flat_base,2024-09-06,2024-10-11,2076.68,2.077,True,target_2r,25,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2017-05-22,2017-06-19,2435.0,2.435,True,target_2r,21,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2021-06-03,2021-06-18,-1074.12,-1.074,False,stop,12,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2023-06-22,2023-07-25,2149.02,2.149,True,target_2r,23,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2023-09-05,2023-10-04,-1245.34,-1.245,False,stop,20,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2024-02-29,2024-03-13,-958.0,-0.958,False,stop,9,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2024-04-29,2024-05-31,2133.0,2.133,True,target_2r,23,bull
MOTHERSON.NS,Auto Ancillary,A_flat_base,2024-07-19,2024-07-19,-1235.2,-1.235,False,stop,1,bull
BALKRISIND.NS,Auto Ancillary,A_flat_base,2017-04-26,2017-06-20,1856.5,1.856,True,target_2r,39,bull
BALKRISIND.NS,Auto Ancillary,A_flat_base,2017-06-22,2017-08-10,-1169.92,-1.17,False,stop,35,bull
BALKRISIND.NS,Auto Ancillary,A_flat_base,2018-08-29,2018-09-03,-1094.5,-1.094,False,stop,4,bull
BALKRISIND.NS,Auto Ancillary,A_flat_base,2019-11-29,2020-02-11,1883.1,1.883,True,target_2r,52,bull
BALKRISIND.NS,Auto Ancillary,A_flat_base,2023-05-23,2023-10-13,1785.8,1.786,True,target_2r,100,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2016-06-27,2016-07-01,1539.78,1.54,True,target_2r,5,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2017-04-21,2017-05-03,-1108.72,-1.109,False,stop,8,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2018-05-08,2018-05-24,-1106.88,-1.107,False,stop,13,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2022-09-06,2022-09-26,-1194.31,-1.194,False,stop,15,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2022-11-16,2023-05-31,1913.9,1.914,True,target_2r,134,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2023-06-19,2023-07-05,2308.77,2.309,True,target_2r,12,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2023-08-02,2023-10-26,-1142.56,-1.143,False,stop,58,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2024-02-01,2024-03-13,-1183.96,-1.184,False,stop,29,bull
EXIDEIND.NS,Auto Ancillary,A_flat_base,2024-06-26,2024-07-19,-1153.81,-1.154,False,stop,17,bull
AMBUJACEM.NS,Cement,A_flat_base,2020-10-21,2020-11-17,1975.25,1.975,True,target_2r,20,bull
AMBUJACEM.NS,Cement,A_flat_base,2021-05-28,2021-07-09,1922.15,1.922,True,target_2r,31,bull
AMBUJACEM.NS,Cement,A_flat_base,2021-07-22,2021-11-29,-1164.0,-1.164,False,stop,88,bull
AMBUJACEM.NS,Cement,A_flat_base,2022-09-07,2022-09-15,1998.14,1.998,True,target_2r,7,bull
AMBUJACEM.NS,Cement,A_flat_base,2024-01-29,2024-07-01,2258.09,2.258,True,target_2r,103,bull
ACC.NS,Cement,A_flat_base,2016-07-22,2016-10-21,-943.08,-0.943,False,stop,61,bull
ACC.NS,Cement,A_flat_base,2017-04-25,2018-05-11,-1103.36,-1.103,False,stop,261,bull
ACC.NS,Cement,A_flat_base,2020-10-28,2020-12-21,-918.48,-0.918,False,stop,38,bull
ACC.NS,Cement,A_flat_base,2021-05-28,2021-07-19,1797.09,1.797,True,target_2r,37,bull
ACC.NS,Cement,A_flat_base,2024-01-29,2024-06-04,-1090.87,-1.091,False,stop,85,bull
RAMCOCEM.NS,Cement,A_flat_base,2016-06-08,2016-10-14,1848.64,1.849,True,target_2r,87,bull
RAMCOCEM.NS,Cement,A_flat_base,2020-11-04,2021-02-15,1822.96,1.823,True,target_2r,71,bull
LALPATHLAB.NS,Healthcare,A_flat_base,2021-06-01,2021-07-06,1896.29,1.896,True,target_2r,26,bull
LALPATHLAB.NS,Healthcare,A_flat_base,2021-07-27,2021-07-30,2014.37,2.014,True,target_2r,4,bull
LALPATHLAB.NS,Healthcare,A_flat_base,2023-07-28,2023-08-02,-1148.1,-1.148,False,stop,4,bull
LALPATHLAB.NS,Healthcare,A_flat_base,2024-07-23,2024-10-04,1922.4,1.922,True,target_2r,52,bull
METROPOLIS.NS,Healthcare,A_flat_base,2021-05-31,2021-06-10,1869.8,1.87,True,target_2r,9,bull
FORTIS.NS,Healthcare,A_flat_base,2017-02-10,2017-03-07,-1202.3,-1.202,False,stop,17,bull
FORTIS.NS,Healthcare,A_flat_base,2019-11-01,2019-11-15,-1192.28,-1.192,False,stop,10,bull
FORTIS.NS,Healthcare,A_flat_base,2021-02-10,2021-02-17,-1182.59,-1.183,False,stop,6,bull
FORTIS.NS,Healthcare,A_flat_base,2021-03-17,2021-05-07,2019.5,2.019,True,target_2r,34,bull
FORTIS.NS,Healthcare,A_flat_base,2021-07-28,2021-08-10,-1202.52,-1.203,False,stop,10,bull
FORTIS.NS,Healthcare,A_flat_base,2022-09-15,2022-09-22,-1215.96,-1.216,False,stop,6,bull
