symbol,sector,entry_date,exit_date,trading_days,entry,stop_initial,stop_final,target,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state,season_score,rs_vs_nifty,adx_at_entry,pullback_candles,nifty_return_pct,nifty_green
DABUR.NS,FMCG,2016-06-28,2016-06-29,2,289.57,268.93,282.0438121806164,330.85,282.0438121806164,stop,48,-461.26,-0.461,False,neutral,64.4,23.2,32.3,4,1.35,True
DABUR.NS,FMCG,2017-12-11,2017-12-11,1,323.84,309.98,318.46655481088357,351.55,318.46655481088357,stop,72,-486.89,-0.487,False,bull,47.8,11.5,34.8,5,0.55,True
GODREJCP.NS,FMCG,2016-06-21,2016-06-23,3,478.31,448.7,477.10707259034785,537.52,477.10707259034785,stop,33,-139.7,-0.14,False,neutral,64.4,11.8,25.7,5,0.39,True
GODREJCP.NS,FMCG,2017-07-04,2017-07-05,2,616.52,578.81,604.7449954195594,691.94,604.7449954195594,stop,26,-406.15,-0.406,False,bull,58.9,14.6,26.1,5,0.24,True
GODREJCP.NS,FMCG,2021-08-18,2021-08-20,2,971.44,916.39,962.2136922620192,1081.54,959.9098606792764,stop_gap_down,18,-307.54,-0.308,False,bull,50.0,11.8,35.4,5,-0.99,False
GODREJCP.NS,FMCG,2021-08-23,2021-08-24,2,1004.11,933.29,983.907652074893,1145.75,983.907652074893,stop,14,-382.83,-0.383,False,bull,50.0,17.8,36.3,5,1.06,True
GODREJCP.NS,FMCG,2024-02-19,2024-02-19,1,1192.55,1130.64,1185.6631439794417,1316.36,1185.6631439794417,stop,16,-210.19,-0.21,False,bull,47.8,13.6,27.2,5,0.37,True
GODREJCP.NS,FMCG,2024-02-23,2024-02-28,4,1216.88,1157.44,1197.624932001039,1335.76,1197.624932001039,stop,16,-408.08,-0.408,False,bull,47.8,13.3,27.3,5,-1.2,False
GODREJCP.NS,FMCG,2024-07-09,2024-07-15,5,1401.94,1317.73,1396.700512540022,1570.36,1396.700512540022,stop,11,-157.63,-0.158,False,bull,58.9,12.4,27.5,5,1.09,True
ABB.NS,Capital Goods,2019-06-27,2019-07-01,3,1409.15,1343.75,1397.1850321240704,1539.95,1397.1850321240704,stop,15,-279.47,-0.279,False,bull,50.0,17.2,28.6,5,0.15,True
LUPIN.NS,Pharma,2021-06-03,2021-06-04,2,1223.08,1153.87,1194.2502288818314,1361.49,1194.2502288818314,stop,14,-503.62,-0.504,False,bull,62.1,18.6,38.7,5,0.6,True
LUPIN.NS,Pharma,2023-10-03,2023-10-04,2,1159.84,1077.32,1143.988331448844,1324.88,1143.988331448844,stop,12,-290.22,-0.29,False,bull,55.3,28.0,44.1,5,-1.03,False
LUPIN.NS,Pharma,2023-10-13,2023-10-18,4,1160.73,1123.26,1181.093834433699,1235.68,1181.093834433699,stop,26,429.46,0.429,True,bull,47.6,23.1,37.4,5,-0.62,False
BIOCON.NS,Pharma,2018-01-22,2018-01-25,4,280.85,258.39,309.3925631248223,325.76,296.39745315254186,stop_gap_down,44,584.09,0.584,True,bull,45.7,50.1,42.2,5,1.61,True
TORNTPHARM.NS,Pharma,2016-09-09,2016-09-12,2,751.45,705.42,729.743402342097,843.51,729.743402342097,stop,21,-555.84,-0.556,False,bull,55.3,12.1,40.6,4,-2.65,False
TORNTPHARM.NS,Pharma,2018-09-07,2018-09-10,2,836.83,773.94,816.2499155107664,962.61,816.2499155107664,stop,15,-408.7,-0.409,False,bull,55.3,24.4,54.3,2,-0.86,False
TORNTPHARM.NS,Pharma,2020-02-14,2020-02-20,5,960.24,903.74,978.507512035502,1073.24,1026.1014404296875,hard_time_exit,17,1019.64,1.02,True,neutral,50.5,14.4,26.6,5,-0.77,False
TORNTPHARM.NS,Pharma,2021-06-03,2021-06-03,1,1317.56,1256.32,1302.6113220105658,1440.05,1302.6113220105658,stop,16,-339.18,-0.339,False,bull,62.1,10.1,48.7,5,0.73,True
TORNTPHARM.NS,Pharma,2021-07-27,2021-07-27,1,1462.48,1386.15,1428.787523360933,1615.13,1428.787523360933,stop,13,-538.0,-0.538,False,bull,61.2,14.0,61.9,5,-0.49,False
TORNTPHARM.NS,Pharma,2024-03-01,2024-03-05,3,2639.22,2522.29,2632.120647898745,2873.09,2632.120647898745,stop,8,-156.79,-0.157,False,bull,50.5,19.1,41.2,5,1.7,True
AUROPHARMA.NS,Pharma,2023-07-19,2023-07-24,4,751.69,712.9,764.7255858392484,829.27,764.7255858392484,stop,25,225.89,0.226,True,bull,61.2,18.6,41.9,4,-0.39,False
IPCALAB.NS,Pharma,2018-09-05,2018-09-06,2,382.62,365.23,380.28531210417987,417.39,380.28531210417987,stop,57,-233.08,-0.233,False,neutral,55.3,12.2,25.5,5,0.14,True
IPCALAB.NS,Pharma,2019-04-22,2019-04-24,3,470.95,450.34,470.6762558904092,512.18,470.6762558904092,stop,48,-113.14,-0.113,False,bull,59.2,13.3,39.4,5,-0.23,False
IPCALAB.NS,Pharma,2021-09-14,2021-09-16,3,1282.49,1203.31,1286.2581944023016,1440.85,1286.2581944023016,stop,12,-54.78,-0.055,False,bull,55.3,17.0,43.1,5,1.58,True
IPCALAB.NS,Pharma,2024-09-06,2024-09-09,2,1451.38,1349.06,1412.33157226691,1656.02,1412.33157226691,stop,9,-451.44,-0.451,False,bull,55.3,11.8,26.5,5,-0.83,False
IPCALAB.NS,Pharma,2024-09-25,2024-09-26,2,1479.53,1417.7,1476.4107134844824,1603.2,1476.4107134844824,stop,16,-149.91,-0.15,False,bull,55.3,25.2,28.5,5,1.06,True
MOTHERSON.NS,Auto Ancillary,2017-02-13,2017-02-13,1,38.98,36.12,38.019335276999286,44.7,38.019335276999286,stop,349,-435.27,-0.435,False,bull,47.5,12.0,26.6,5,0.13,True
BALKRISIND.NS,Auto Ancillary,2017-02-10,2017-02-10,1,547.67,516.84,540.7509087061092,609.33,540.7509087061092,stop,32,-321.41,-0.321,False,bull,47.5,11.7,25.8,5,0.17,True
BALKRISIND.NS,Auto Ancillary,2023-05-23,2023-05-25,3,2259.85,2097.44,2324.3868976180993,2584.67,2324.3868976180993,stop,6,287.22,0.287,True,neutral,55.0,12.9,37.2,3,0.04,True
BALKRISIND.NS,Auto Ancillary,2023-06-21,2023-06-22,2,2410.62,2240.3,2408.2127069760395,2751.26,2408.2127069760395,stop,5,-112.04,-0.112,False,bull,45.0,13.1,25.6,5,-0.24,False
EXIDEIND.NS,Auto Ancillary,2016-05-11,2016-05-11,1,131.28,125.19,131.33435167334542,143.47,131.15344365621417,stop_gap_down,164,-120.76,-0.121,False,bull,55.0,17.2,25.9,5,-0.49,False
EXIDEIND.NS,Auto Ancillary,2017-03-16,2017-03-17,2,203.58,192.82,202.68975937075805,225.1,202.68975937075805,stop,92,-181.9,-0.182,False,bull,55.0,17.3,39.0,5,0.83,True
EXIDEIND.NS,Auto Ancillary,2017-03-30,2017-04-06,5,202.66,194.0,207.6825483563956,219.99,207.6825483563956,stop,115,477.59,0.478,True,bull,55.0,10.5,29.3,5,1.29,True
AMBUJACEM.NS,Cement,2021-08-20,2021-08-20,1,394.84,377.93,387.6811487624484,428.67,387.6811487624484,stop,59,-522.37,-0.522,False,bull,46.0,16.8,35.5,5,-0.71,False
AMBUJACEM.NS,Cement,2022-12-02,2022-12-05,2,575.9,546.3,566.2890919911106,635.1,566.2890919911106,stop,33,-417.16,-0.417,False,bull,48.0,35.3,28.0,5,-0.59,False
ACC.NS,Cement,2016-07-22,2016-07-25,2,1544.98,1430.49,1520.8720223560622,1773.95,1520.8720223560622,stop,8,-292.86,-0.293,False,bull,56.0,13.1,27.4,5,1.48,True
ACC.NS,Cement,2020-07-30,2020-08-03,3,1353.11,1273.56,1353.0932074456343,1512.21,1353.0932074456343,stop,12,-100.2,-0.1,False,bull,56.0,10.0,25.4,4,-2.78,False
RAMCOCEM.NS,Cement,2016-04-28,2016-04-28,1,440.74,422.76,436.90743569800463,476.71,436.90743569800463,stop,55,-310.79,-0.311,False,bull,50.0,17.8,48.0,2,-1.66,False
RAMCOCEM.NS,Cement,2019-04-26,2019-04-26,1,781.71,726.71,751.768931475951,891.7,751.768931475951,stop,18,-638.94,-0.639,False,bull,50.0,20.6,42.9,3,0.97,True
LALPATHLAB.NS,Healthcare,2019-10-22,2019-10-27,5,681.26,634.74,705.1568017264815,774.3,774.3,target_2r,21,1853.84,1.854,True,bull,50.0,34.5,32.7,5,-0.67,False
LALPATHLAB.NS,Healthcare,2019-12-04,2019-12-09,4,782.32,739.58,789.2383241440243,867.81,789.2383241440243,stop,23,59.12,0.059,True,bull,45.0,31.4,28.0,3,-0.47,False
LALPATHLAB.NS,Healthcare,2021-08-20,2021-08-20,1,1929.76,1803.33,1866.540104375223,2182.62,1866.540104375223,stop,7,-542.54,-0.543,False,bull,59.0,29.6,55.4,5,-0.71,False
LALPATHLAB.NS,Healthcare,2021-08-31,2021-09-03,4,1928.79,1819.74,1985.443955433239,2146.89,1985.443955433239,stop,9,409.89,0.41,True,bull,59.0,26.0,50.4,5,2.32,True
LALPATHLAB.NS,Healthcare,2023-07-27,2023-07-28,2,1184.08,1107.91,1175.6220200496416,1336.43,1175.6220200496416,stop,13,-209.95,-0.21,False,bull,66.7,14.2,32.4,5,-0.67,False
METROPOLIS.NS,Healthcare,2021-06-24,2021-06-28,3,697.75,657.71,700.9982987100022,777.84,700.9982987100022,stop,24,-22.04,-0.022,False,bull,59.0,39.9,39.9,4,0.81,True
FORTIS.NS,Healthcare,2021-01-27,2021-01-27,1,171.69,161.08,162.07889932688428,192.91,162.07889932688428,stop,94,-1003.44,-1.003,False,neutral,52.8,16.1,30.7,5,-1.91,False
MAXHEALTH.NS,Healthcare,2023-12-01,2023-12-04,2,627.57,595.93,620.5089710226854,690.84,690.84,target_2r,31,1861.37,1.861,True,bull,67.5,10.5,31.8,5,2.75,True
MAXHEALTH.NS,Healthcare,2024-06-28,2024-07-02,3,890.32,846.78,923.2850678848384,977.41,923.2850678848384,stop,22,625.23,0.625,True,bull,59.0,13.7,28.4,2,0.33,True
MAXHEALTH.NS,Healthcare,2024-07-25,2024-07-25,1,924.26,888.5,914.510426809345,995.77,914.510426809345,stop,27,-363.24,-0.363,False,bull,66.7,15.7,28.2,5,-0.03,False
MFSL.NS,Insurance,2021-07-12,2021-07-13,2,1081.08,1011.47,1064.0999755859375,1220.3,1064.0999755859375,stop,14,-337.72,-0.338,False,bull,67.7,15.0,31.9,5,0.78,True
SBILIFE.NS,Insurance,2020-07-31,2020-08-03,2,911.55,843.77,892.7113792682009,1047.12,892.7113792682009,stop,14,-363.74,-0.364,False,bull,67.7,13.1,40.4,5,-1.9,False
SBILIFE.NS,Insurance,2024-08-21,2024-08-23,3,1757.27,1656.38,1783.969888813822,1959.05,1783.621169296162,stop_gap_down,9,137.16,0.137,True,bull,45.2,12.9,30.1,5,0.5,True
HDFCLIFE.NS,Insurance,2019-06-28,2019-07-04,5,451.5,421.92,463.1117699221126,510.65,481.7268676757813,hard_time_exit,33,897.49,0.897,True,bull,58.1,22.0,26.6,5,0.89,True
ICICIGI.NS,Insurance,2024-04-01,2024-04-02,2,1687.79,1595.33,1667.6529139414297,1872.71,1667.6529139414297,stop,10,-301.37,-0.301,False,bull,45.2,14.8,26.8,5,0.57,True
VOLTAS.NS,Consumer Durables,2019-10-22,2019-10-23,2,674.01,638.61,668.4972237343974,744.82,668.4972237343974,stop,28,-254.36,-0.254,False,bull,60.0,18.0,38.2,5,-0.5,False
VOLTAS.NS,Consumer Durables,2020-08-05,2020-08-07,3,596.21,554.53,586.1090631437538,679.58,585.1338343991619,stop_gap_down,23,-354.75,-0.355,False,bull,60.0,13.7,27.8,5,1.07,True
VOLTAS.NS,Consumer Durables,2020-08-14,2020-08-14,1,610.03,569.66,591.3264494786999,690.76,591.3264494786999,stop,24,-548.89,-0.549,False,bull,60.0,11.1,30.5,5,-1.08,False
VOLTAS.NS,Consumer Durables,2020-10-09,2020-10-09,1,678.85,645.54,663.6879806823356,745.46,663.6879806823356,stop,30,-554.86,-0.555,False,bull,60.0,14.0,28.4,5,0.67,True
VOLTAS.NS,Consumer Durables,2021-02-26,2021-02-26,1,1023.06,952.45,992.3868379930916,1164.27,992.3868379930916,stop,14,-529.42,-0.529,False,bull,63.3,21.8,44.3,5,-3.76,False
VOLTAS.NS,Consumer Durables,2021-03-04,2021-03-04,1,1036.72,980.57,1038.6126243883969,1149.03,1035.686794553103,stop_gap_down,17,-117.56,-0.118,False,bull,60.0,17.5,42.2,5,-1.08,False
VOLTAS.NS,Consumer Durables,2024-02-13,2024-02-15,3,1076.13,1001.35,1065.1453340333185,1225.69,1065.1453340333185,stop,13,-242.8,-0.243,False,bull,63.3,19.9,35.5,5,1.36,True
VOLTAS.NS,Consumer Durables,2024-02-21,2024-02-22,2,1100.92,1052.2,1082.485034505731,1198.37,1082.485034505731,stop,20,-468.7,-0.469,False,bull,63.3,21.5,36.2,5,0.09,True
VOLTAS.NS,Consumer Durables,2024-02-28,2024-02-29,2,1118.98,1054.18,1092.888731755811,1248.57,1092.888731755811,stop,15,-491.37,-0.491,False,bull,63.3,23.3,33.9,5,-0.97,False
BLUESTARCO.NS,Consumer Durables,2023-10-18,2023-10-20,3,904.05,853.88,920.0480947224733,1004.4,920.0480947224733,stop,19,203.96,0.204,True,neutral,60.0,15.4,47.9,5,-1.36,False
Dixon.NS,Electronics,2020-11-23,2020-11-26,4,2097.32,1980.71,2155.901716708574,2330.54,2155.901716708574,stop,8,368.65,0.369,True,bull,53.3,15.3,33.8,3,1.0,True
Dixon.NS,Electronics,2024-01-12,2024-01-15,2,6501.28,6259.28,6474.802478526712,6985.28,6474.802478526712,stop,4,-205.91,-0.206,False,bull,61.5,15.6,37.4,5,2.08,True
AMBER.NS,Electronics,2023-08-07,2023-08-09,3,2527.52,2331.06,2509.949951171875,2920.45,2509.949951171875,stop,5,-187.85,-0.188,False,bull,71.4,28.8,37.1,2,0.59,True
AMBER.NS,Electronics,2023-09-28,2023-09-28,1,3099.05,2892.6,2942.0,3511.94,2942.0,stop,4,-728.2,-0.728,False,bull,92.9,30.5,42.1,5,-0.98,False
